replaceable	置き換えられる、代わりのある
accounting	会計、計算
shatter	を粉砕する
preliminary	予備的な、予備の
endurance	忍耐、我慢
fleet	艦隊
stand over	を監督する、延期する
comet	彗星
cozy	居心地の良い、快適な
speculation	憶測、推測
execute	を実行する、遂行する
have a flat tire	タイヤがパンクする、パンクしている
masterpiece	傑作、名作
nun	修道女
be keen to	やる気がある、乗り気になっている
discrimination	差別、区別
wash away	を洗い流す、を洗い落とす
bounce	跳ねる、はずむ
blueprint	青写真
bring about	を引き起こす、発生させる
disturbing	邪魔な、迷惑な
attentive	注意深い
take root	根付く、定着する
mock	をあざ笑う、ばかにする
identify A as B	AがBだと分かる、認識する
receptionist	受付係
identification	身分証明書、身元確認
prey	獲物、捕食対象
shrine	神社、聖堂
solitary	独りの、独りぼっちの
jack up	吊り上げる、ジャッキで上げる
magnetic	磁気の、磁石の
cue	合図、きっかけ
scramble	をかき混ぜる、素早く進む
councilor	評議員
federation	連合、連盟
in short	つまり、要するに
inexpensive	安価な、費用のかからない
astronomer	天文学者
multitude	大勢、多く
lumber	木材
hostile	敵意のある、反感を持つ、敵対視する
bilingual	二ヶ国語話者、バイリンガル
insistence	主張、信条、主義
administrative	運営の、管理の
staircase	階段
inheritance	継承、相続
accuracy	正確さ、精密さ
mortal	死を伴う
liner	定期船
abrupt	急な、不意の
registration	登録
exhaustion	枯渇、疲労
call down	下に向かって叫ぶ、叱りつける
cluster	集団
script	台本、脚本
infectious	伝染性の、感染する
odor	臭い、悪臭
ample	広大な、広い
ornamental	装飾用の
dullness	鈍さ、鈍感
indication	指示、指し示すこと
certificate	証書、証券
remembrance	記憶、思い出
jerk	急な動き
orient	東洋
offspring	子孫
counterpart	相手
documentary	事実を記録した
scrape	を削り取る
